Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Lot_Size,Garage_Size,Neighborhood_Quality,House_Price
2168,2,1,1995,1.202161151029896,2,7,465144.0719417193
1146,3,1,1998,2.3205589538180784,1,2,281313.0614448485
4056,3,3,1992,2.7975280793420216,1,4,883819.0911218557
1718,5,3,1988,3.1302490798885563,0,6,424712.5512524801
3554,2,2,1994,0.8001224663245199,1,9,734201.4615779822
762,2,3,2022,3.3488269407478084,0,10,237070.7057045996
3338,4,1,1958,1.026552761860758,2,8,671803.9439013259
966,1,2,1977,2.73066687604351,1,8,229698.9186636115
1654,5,2,2021,0.9952847789050184,2,10,417416.2622542783
2352,3,2,1991,3.569689227027357,2,1,526951.7757612201
4262,2,1,1978,3.401875502667409,0,9,894261.7196452515
4646,2,2,1972,0.5141340772165495,2,8,915005.2948821838
1559,1,1,2003,2.528493277488637,1,4,364658.5286208398
2826,3,3,2020,0.7498626476411775,2,1,632482.6223597979
2527,2,1,1998,3.548630366705628,0,6,551967.8882668803
3599,1,1,1981,2.061331968805513,1,8,721018.0639031393
1284,5,2,1976,4.219782554761199,1,7,350816.184399563
4061,1,1,1952,2.239790776852254,0,6,787420.4040749857
1779,5,3,2016,3.326537890596073,1,10,480192.2452357916
3121,4,2,2016,3.927541442961482,1,10,728927.0713778214
4712,3,2,1985,2.573014234250701,0,2,976572.7481782682
3274,4,1,2004,2.808149741486446,1,3,724842.1846929234
4965,5,2,1977,3.0314984057287133,2,2,1075864.2810329462
3311,5,2,1971,3.126222666536449,0,9,722603.6896894623
1188,5,3,2020,1.5157747572760734,2,3,342365.20713846444
2292,1,3,1950,4.895574677724138,2,6,483905.9983899615
3944,5,3,1990,2.475930043628728,2,8,879796.9835223783
3428,1,1,2011,1.2350149164007576,1,8,710065.5617561329
2042,2,3,1987,4.075163680340777,0,6,475471.1766686792
4993,3,2,1966,2.237953967676638,1,3,1020324.7565966452
1480,1,1,1980,1.877231585852546,1,7,304174.6641013576
2641,2,3,1998,4.564358504754931,0,7,621862.7654183527
626,2,1,1959,1.178093691503752,2,1,113576.5123703764
4097,5,1,1951,2.753199166265021,2,4,852599.97505604
2187,5,3,1974,2.1943862950518422,0,10,504023.26087166165
3945,2,2,1971,4.859035725084607,0,8,846346.3280926006
2431,1,3,2009,1.544250828655202,0,10,538851.8933945443
1213,1,2,2004,1.29736625455036,2,4,269665.8613983956
4127,1,2,1990,4.216629682922137,1,4,886568.3132277146
3781,2,1,2007,1.844522919744132,1,5,826587.7969711117
2705,1,3,2003,4.100330444345905,2,8,628610.9650581649
3876,2,2,1994,1.4805891871340606,0,9,795928.1818267058
2185,4,2,1981,3.9416043760667474,2,5,504176.5060593679
2549,5,3,2015,4.374703847764904,2,3,656223.1627305328
4481,2,2,2003,3.9810744577882415,2,7,996696.835850388
4974,5,2,2000,3.709561406375016,2,10,1107045.062935083
4350,2,1,1968,0.6350959946708234,1,5,877752.3422257571
749,1,3,1985,0.5754033702157209,1,7,146020.40342022013
1818,2,1,2008,3.4941434378850698,1,9,441001.3484190839
3936,3,1,2002,0.7993742369488486,0,8,815811.6827370644
1037,2,2,1964,4.889179747158894,2,10,255907.13436003952
4699,2,2,2010,2.9960946940103885,2,2,1008240.7854354944
3370,5,3,2021,1.6154301142779064,1,2,769318.6038261497
3459,5,3,1959,3.09476303208373,2,7,759151.2379465501
3438,3,1,1980,3.3669261537099917,2,8,738091.5512277477
4993,1,2,1957,4.595958656904905,1,6,1038319.1650899692
4564,2,2,1990,4.084288338756688,1,4,991703.3944221088
4650,3,3,1955,3.531657800939704,2,10,988234.6180212416
2363,1,3,2008,3.2844743466845223,0,6,528869.8625493657
2458,2,1,1962,3.9085900045282296,1,10,523387.09594019287
3801,2,3,1955,2.4604015570542943,1,1,783978.6474904561
2135,3,3,1996,4.035393965881072,1,5,533039.4327952061
3181,2,2,1995,1.909234408233997,0,2,690319.8868147184
2000,2,2,2004,2.1410180430545145,1,8,448879.5107617519
3940,4,2,1966,3.2484682880826736,0,7,842172.2092376931
3419,1,1,1972,2.805281407595683,1,1,703413.1109446795
2233,5,3,2010,4.106065963432139,2,5,573797.9393068494
3245,5,2,1950,1.5182386286746992,2,10,695195.3585354679
4860,5,2,1977,3.872417026913639,0,6,1060712.8283115798
1655,2,3,1997,2.5195046179757665,2,5,396277.33998439007
4579,2,3,2005,2.595571437930258,0,10,987442.6840517226
2070,4,2,1978,3.4537363672314525,1,8,473629.2215424205
3951,4,2,1971,2.714245202220803,2,4,851472.5994111879
1650,5,2,2022,4.098730611284238,2,9,474045.8427124246
1960,4,1,1977,4.255659286678725,1,6,466251.4916197072
3876,1,1,1974,3.625941977645789,0,5,793323.8127937265
4500,3,2,1954,4.539846049293764,0,6,936969.4548360409
1577,5,1,1998,1.623974731009339,2,2,370970.3860521568
970,4,2,1981,2.3488569132822343,1,1,258717.68020973945
4646,1,2,2016,1.1281949031191003,0,9,965317.5061019752
1960,4,1,1972,0.6616858198368785,1,3,407600.3914029592
4991,2,1,1996,0.6867462523238574,2,1,1023975.1331555475
3116,4,3,2001,1.830445437256184,1,3,696224.0924052008
1800,2,2,2004,3.375644715117144,2,10,443408.3059778237
3244,1,1,2003,4.346165525419389,1,10,726227.5690417645
503,5,2,2018,1.3750143999425988,0,9,206042.3513164644
4423,1,1,1965,3.865074573917176,0,5,888140.07598706
1995,2,1,1983,0.5658271649495408,1,1,397482.74798703607
1198,3,2,2012,3.866021313671316,2,5,346152.8475921306
1666,3,3,2009,2.653232523151829,2,10,412045.7826588494
4542,3,1,1996,3.6955164485177567,0,1,978835.1052830342
3135,5,2,1988,0.7038258962588485,2,9,663727.5441240586
1714,2,3,2008,3.7837035792384,0,10,431423.2948124018
4172,5,3,1956,2.7956677120534548,1,10,894611.0786564201
3986,3,1,2008,0.5226194867441141,2,5,827741.1738157432
2105,3,1,2021,0.5435909723343548,1,10,472291.952524426
1163,2,1,1976,2.5879555915899126,0,5,244030.4071335913
1376,5,1,1992,1.8707106009838568,1,6,335417.6369743354
1648,3,1,1960,2.2806858360820668,2,2,342303.6892675472
4824,1,1,1961,0.7784856575621386,0,1,924012.9418488424
2406,5,2,1988,0.930780746349788,1,1,533178.2402465394
1360,2,1,1981,0.5996366396268326,0,5,262382.8522740563
3624,2,1,2022,2.0617806582472773,1,3,786580.3015186453
1812,3,3,1993,1.7497358930787972,1,2,415639.6454079276
3279,4,2,1990,1.503779276942406,2,6,695362.741532193
3949,1,1,2008,4.0314635682124464,0,5,833283.0644545743
3283,3,2,2016,4.741966296349837,1,1,764387.1612255372
999,2,3,1977,1.241981494543123,0,6,226125.4126756759
917,1,2,1992,3.534798433162917,2,4,251359.7986427481
3897,3,2,1996,3.677713259535744,0,10,837398.565143556
2737,2,3,1997,4.197415698327971,0,3,637736.0103999889
4469,5,2,1955,3.976323287357318,2,6,992213.4530121648
3286,5,3,1958,1.4697534149039797,2,9,681361.2493428746
4985,1,2,1990,1.6080987243677003,1,5,1032002.2381140392
4100,2,1,1956,1.9522695772698728,1,1,809712.7379333257
3231,1,1,2017,3.9843620732506784,1,10,731490.1175330897
1268,5,3,1954,3.0768928390201307,2,8,321199.3469094537
3411,1,3,2014,0.8119774867449414,2,2,719969.4352945103
1069,5,1,1957,0.8366954233773787,1,5,234389.76681767972
1074,2,3,1986,2.7453700261119467,0,6,251724.67925135957
1576,3,2,1978,0.9291722102287638,1,8,340980.72481778456
2341,3,2,2000,1.2655193778917666,2,10,517655.1581174146
4913,1,1,1972,1.177736464482233,1,4,977158.5923179968
3201,1,1,1978,3.277484626450553,0,5,662119.9410580613
2643,3,1,1964,4.617346392850859,0,5,572941.4282388942
2182,2,1,1967,0.5712042739856937,1,2,408013.5790622347
2136,4,3,2021,3.813029971378476,2,3,551859.0856947603
2071,4,1,1999,3.980214715020124,1,4,508941.1259280808
2548,5,3,1950,1.322025729078507,2,7,547523.9110807307
3945,5,3,2000,2.368584375503182,1,8,860329.4923109863
4136,5,3,1995,3.187815891590612,2,8,926531.8100085806
3431,3,2,1970,4.321305524757669,2,7,762159.3914733424
1767,5,3,2009,1.073238872001527,1,1,432357.9061027443
4929,3,3,1971,4.057342296222531,2,5,1062899.029267778
1123,5,2,1950,2.6117835229660566,2,2,267132.4135848208
4413,3,2,2002,4.750995794769929,1,9,983106.2224146988
845,1,1,2001,3.5278121006984517,0,6,222673.0658697626
3772,5,1,2005,0.5708431084805464,0,2,819125.6470544274
3948,1,1,2017,1.759516935108921,0,5,823529.5488742903
2353,3,3,1956,4.026975750577622,1,5,534464.9120087984
3011,4,3,1984,1.890301955306687,1,1,658260.7060110456
3671,1,2,2012,4.911960066216673,0,1,814427.8614089885
2417,4,1,2003,3.9158911965003727,2,8,580272.8715936985
2180,2,3,2019,1.5799521374148089,1,5,507967.8360673265
2562,1,3,1971,2.417319399317437,2,6,538349.0962151848
4658,1,3,1987,4.544545503818065,2,6,1021278.340082141
697,1,3,1977,4.061585934002835,1,9,202427.97400689824
2193,5,1,1968,3.6618809263620298,0,10,497340.9981159924
4196,4,1,1994,2.4638881942831685,2,10,922420.588370604
1565,3,3,1959,4.933285497908036,1,3,368640.6584269345
3235,3,2,1979,0.8535102391567722,0,2,655719.1459405582
4277,5,1,2015,0.772722084717094,1,7,927092.4059599084
2259,1,2,2017,2.321262787233464,0,6,509733.85039647983
1884,4,1,1957,2.1054592023047265,2,7,414166.584309186
4248,3,3,1964,1.4775389890385486,2,6,883626.6203857235
1304,5,2,1968,4.849463824484371,2,6,357477.332666952
2408,2,2,1975,1.13498417309608,0,8,476966.9362678016
3476,5,2,1950,1.1229597199822745,2,9,712212.2154102818
3324,1,1,2014,0.688934430093147,2,8,697574.5556670319
2972,2,1,2018,0.7357608301768754,1,2,629290.1434469345
3742,2,1,1960,2.4973663478958548,2,5,758977.8818675748
1173,3,1,1973,3.556396180405262,1,6,288382.46046148066
3113,5,2,1999,3.7815563431113937,1,2,731331.6610567131
614,2,3,1956,3.9330200099946384,0,9,172534.44400203408
2319,2,2,1998,0.8939689881250128,0,1,501720.6757217424
2119,2,1,2007,2.3347209679935137,0,4,468251.3632686849
2606,4,2,1962,4.055066787019469,0,2,572024.023634332
689,5,1,1996,3.8868723233232623,2,2,227515.3002879812
3493,1,1,2011,1.1401485789956691,2,9,724420.5096752369
4685,5,2,2017,0.9147558131259454,2,1,1015603.7016174662
1853,2,3,2020,3.022609140504719,2,8,471816.8853184141
3972,3,2,2018,2.9200232063361944,0,5,878049.2511558104
1993,4,3,1989,2.032451759659536,0,7,462185.7241886994
2762,2,2,1976,4.5109319286213445,1,6,619407.6279156839
1581,1,2,1994,2.812328305594691,0,4,358458.3807510001
2085,5,1,1975,1.5419679618427198,2,10,467768.122943975
2031,3,2,1993,4.730993625070783,2,10,501692.8515892058
3433,3,2,2004,1.1169025613544044,2,5,739205.5159327254
2224,4,3,2017,0.8646737470927555,0,5,518166.38138878136
3465,4,3,2003,0.657226608826948,2,3,749471.4241491086
690,4,3,1957,3.5118887412284563,2,4,203867.04292282808
977,5,1,1956,1.7952408448322263,2,1,214146.49100738543
2233,4,3,2006,2.3900183333663225,0,6,525760.8806101802
2476,1,3,1992,0.7956145242034665,1,6,513292.75970622
3353,4,2,1976,1.9571880870609413,0,2,701368.1143168806
4798,5,1,1997,3.3450716789053745,2,1,1045202.3496436334
3640,2,2,2006,1.8219915777847584,0,2,788471.7465500822
1582,5,2,1956,4.48528893908798,1,5,396246.3588887452
2897,1,3,1965,4.017269656383796,2,7,625246.1179756841
2327,4,3,2005,4.609547061896554,0,1,585574.1096146859
2133,5,3,1970,3.853307729163265,2,7,523680.204086382
1095,1,2,1974,1.4485165220960972,1,10,214492.39812518292
3751,5,3,1973,3.782586964242487,2,1,839522.318603536
2778,1,1,1991,3.4811777612372365,1,10,605371.7047170609
2481,3,1,1991,0.7039367553240257,0,1,509725.550655089
2387,1,2,1991,1.9246404195889304,2,1,508927.8041870647
2565,4,1,1987,0.7485013433436281,0,2,527544.910534171
4557,5,3,1958,0.5923436662819634,0,10,935973.5562996916
2765,4,1,2002,3.0144467508097894,2,4,630531.7401285437
4545,1,3,1970,4.34417355048801,2,7,973850.3282632278
3482,3,2,1999,2.778486392094205,0,8,775422.1168993582
4514,4,3,1993,1.2470982063928735,1,3,955158.90638745
2933,5,3,1973,4.781489129265565,2,9,701133.8041471172
2234,2,2,1985,3.37245007906322,2,10,507847.5873391124
4230,3,1,1951,3.079504375023161,1,9,874856.2710820399
3917,1,1,1988,0.8675027413704332,2,7,780363.0627911759
2628,4,2,1987,2.4985186092334954,0,4,576020.0443075488
4291,2,1,1980,1.2714537951974425,1,10,862580.4983858576
904,3,3,1957,1.2123675504752645,0,5,198204.1283050715
4777,3,3,1979,3.1936779833210185,2,7,1009807.4390560028
2796,3,1,2000,2.752147921400232,1,2,621460.4905680827
4275,4,3,1959,3.2762481232302587,0,4,896792.553841208
1216,4,2,1973,3.094125969009893,1,1,299226.76708907617
4955,1,1,1970,1.908725652784161,2,6,995441.7102207708
3311,5,2,1975,0.52405772384464,0,3,688516.5046690886
1138,2,3,2022,1.9595561346277508,2,9,315357.48101832974
1418,2,3,1996,3.287045543616101,0,8,353161.46132211224
3919,4,2,2012,1.7409083199857658,2,3,875382.7427446679
4646,4,1,2012,4.974868704014931,1,7,1046163.3264236908
3873,4,2,1986,0.5289584517355808,1,9,801313.0610758337
2827,2,2,2013,4.512698893412357,2,3,640767.2241513439
516,5,3,1959,3.57554199833379,1,1,171023.95659837997
3447,5,3,2021,4.264243207781151,2,3,830557.1687018349
3372,5,1,1986,2.4906493989608847,0,4,733900.7559066785
2625,5,1,2001,4.19192069116559,0,4,625113.6084591298
3339,2,3,1961,3.1501988372550387,0,5,722543.0796460027
912,4,1,2008,1.055303668425184,0,5,233504.5137836983
4384,3,2,2017,2.9661456049890806,2,7,985223.9966541852
3125,5,1,1970,2.899631296755961,1,9,667696.0449735246
2348,4,3,2002,4.676458259794039,2,5,594755.3248280677
3800,5,2,1995,4.889628627413098,1,1,888184.3038431654
4880,3,1,2008,4.66035110929355,1,5,1075814.4318808403
1063,3,2,1966,3.855890205842567,1,1,266533.05392411625
3229,1,1,1960,3.365427726699472,0,7,645145.5398468642
3965,1,2,1977,4.983792321555749,0,2,846516.6709494363
4084,3,3,1958,3.1163769751190924,2,8,858011.5135429478
3794,1,1,1987,2.0768596250458886,0,1,783176.6365627198
1325,3,1,1957,3.5151464201340503,1,5,289985.41455097107
2070,3,3,2012,2.9374088819754194,2,7,525582.3102214569
3889,4,1,1970,1.932368426115563,2,1,796470.173239297
1304,2,3,1960,2.4492340009182487,1,9,277832.10571177263
1512,3,2,2003,3.643387813441117,0,5,389645.3296127529
4991,1,2,1982,4.249419604685034,2,6,1037268.0434280155
4922,4,1,2018,4.23375289844731,2,2,1108236.8362913695
2832,4,1,2001,3.1653561697794306,1,6,656065.8419892447
2650,2,1,2006,3.62000819180618,0,7,596659.3685492761
2484,3,2,2006,1.9031096163009589,1,1,562238.4809757017
4844,3,1,1952,1.9384342488142812,2,5,979926.724614952
4340,5,3,1962,1.881070309375565,0,10,903251.9405609448
2891,2,3,1982,3.9784402458751407,0,2,635097.3959198
1253,5,1,1974,3.268641439770863,0,3,296184.19659571577
3331,3,3,1969,0.8723031783065185,2,1,687869.2513012193
1863,5,1,1953,1.317754819526704,1,5,376388.0216286443
3112,2,3,1980,2.6566704046154186,0,9,666733.4734616925
4175,1,3,1962,3.452247598890668,1,10,848824.7742976189
4082,3,3,1973,0.8610001090507133,2,6,857205.2452653883
1581,3,3,1992,1.6225619193195453,0,2,342679.45001245977
3868,1,3,2014,4.26888875334225,0,4,864309.0323581436
3537,4,1,2018,1.9944940248865608,1,1,769763.673034886
4213,3,2,1955,2.059514419174464,1,9,845932.4082879503
706,3,3,1986,3.198970917367241,1,10,199414.94263280893
4632,4,1,1977,4.650653681015463,2,10,997885.7696999718
2486,4,1,1979,2.366668037250262,0,7,543734.421890143
3282,5,2,2001,2.383620284891701,0,4,752791.6325948103
1175,4,2,1978,4.677725775363384,0,7,310471.3888855296
3556,4,3,1968,4.961541055292564,1,10,796875.0927818617
2145,4,1,2009,4.659291818575976,2,1,524818.9633293215
1213,1,3,2017,1.8702163973702788,1,2,305026.7707546245
1869,5,1,2020,4.722861847361648,1,1,510876.9990932239
3046,5,2,1956,3.6611975371481096,0,5,676719.1220590248
3213,4,2,1950,2.989003869762672,2,10,665309.7683934513
2636,4,1,2022,3.956024458909444,1,8,645781.7324767867
3810,2,1,1981,4.245877325346138,2,5,821117.7482116626
625,3,1,2007,2.389319139588429,0,2,185569.89426877032
2927,5,2,1977,2.994518634531552,0,4,648902.5219843038
4908,2,3,2022,1.8413404273617024,1,9,1058290.680940349
509,5,3,1957,1.4386476548347282,1,1,140538.08318538152
3920,3,3,2002,3.2854620411436466,2,10,881016.0047742793
1645,1,1,2002,2.1269362943931736,2,9,368670.1351204142
2431,3,3,1987,1.054546590723462,1,5,505877.59815497726
4617,5,1,2005,4.3578900606237845,0,4,1019192.6613592046
1135,5,2,1990,3.943221479675449,1,5,329218.5249164853
820,4,1,2018,1.0650451038676312,2,2,236054.0002831533
3734,3,2,2005,0.6123479995402572,0,1,785248.3619879358
646,1,1,1956,2.3105072985679973,2,4,146406.89625235138
1013,1,1,1977,4.737095837302702,1,7,248621.82614873743
1475,2,3,2014,3.790924338664833,1,5,370167.09090271546
3618,3,2,2006,2.329505527136469,0,1,793421.1417884243
555,2,1,1962,1.5525361916249156,0,2,111626.85342361582
2139,1,1,1999,0.6110787075106308,0,10,422950.9047116141
3349,4,3,1958,4.504476769130689,0,5,749571.2916347987
3414,4,1,2006,3.058092043285729,0,8,748136.4563894381
3824,3,2,1971,3.0256505513371583,2,8,809782.1662261934
3728,2,3,2003,3.4751330529291344,1,7,816939.5874308393
2755,2,2,1979,4.386386395834772,1,4,616308.9624199027
1260,4,2,1965,1.9296261389622296,2,9,278644.6693366641
3190,2,1,1973,3.912202814252266,2,1,684824.5348634415
1297,2,3,1970,1.1493914032472137,2,1,284798.2134604166
1378,4,2,2022,3.3439490617828507,0,3,384461.3548261602
4664,5,3,1979,3.003476032656857,2,3,1010183.5001098072
1909,2,3,1968,1.4886805567613015,2,5,390430.2223774808
2334,5,1,1966,2.3511855713566523,2,7,515300.5927029035
1228,4,2,1959,3.0040529262145537,2,6,287478.2675046062
2207,1,3,1962,4.563921775444422,1,1,492112.0397149675
564,5,3,2018,2.844829357287745,2,4,242865.9315016322
617,1,1,1982,2.3472310732724955,0,5,147206.86576297088
643,5,1,2009,1.9949250692629472,1,7,213397.79303700436
3419,3,2,1962,4.407848545736219,2,5,752101.9024207598
627,2,1,1967,2.637279343686867,0,2,126097.92716348889
3946,2,1,1962,0.927087985703058,1,8,779202.6809723858
3423,3,1,1960,4.5714485375605305,0,2,731262.2024937344
3193,2,1,1969,2.879259885942961,1,2,639073.1842415399
3793,1,1,1988,4.976078743384193,0,2,804450.0990071343
2605,1,2,1991,2.6861784301068417,0,8,557218.6456389157
1450,3,3,1995,0.5243221565270144,1,6,325738.14789058163
4462,4,2,2016,3.2075697380823325,1,4,1010589.32913523
1806,1,2,2001,2.576853174148731,0,2,420203.4615575062
3560,1,1,2005,1.5126884427689244,0,1,740148.1937768575
4219,1,2,1993,4.931805847851923,1,8,923122.114178692
4706,2,2,1998,3.606825748599824,1,7,1000021.7606809204
4343,3,3,1955,3.23784021146008,1,1,899382.8651584806
3230,3,1,2011,2.960133477333529,2,7,734110.0243598827
2703,1,1,1987,4.155161544456538,1,8,576620.3718535388
2989,1,2,1963,2.019421858996556,2,5,609401.0845045892
1684,5,3,1998,4.052342398611136,1,8,467628.527062253
1275,2,2,1979,2.9551333220111653,0,10,296291.0010075069
4749,3,2,1970,3.8372117875330343,1,6,1007770.5792970628
4143,1,2,1984,2.723664517870472,1,8,845141.6166638864
3268,4,2,1983,3.1087902476038645,2,2,742599.2533323644
4219,1,3,1999,3.435059089095984,1,1,907601.7861704028
1641,3,2,1996,0.9046231018686604,1,3,364016.40122898977
1639,2,2,2008,2.281827149364222,1,9,395042.3550597105
1217,3,3,1996,1.7726050880172488,1,9,314916.5292154408
2031,2,3,2013,4.010851708173478,1,1,496840.5291926289
2482,1,3,1959,1.8663077216472808,2,6,507185.45440816105
1059,4,3,1957,4.180353375447632,0,2,263760.9441483153
3691,1,2,1955,4.696450652086029,0,10,758140.6272517709
2660,5,3,1987,4.157211289518779,1,5,649973.3618681368
3802,2,2,1975,3.995557175332522,2,4,816173.7524264855
1814,2,2,2002,1.0277606651020026,2,5,405940.62394306617
2455,3,2,1953,4.951479892809876,0,10,527393.5128875901
3856,2,3,2014,1.2438602876208258,2,5,824351.6710960343
2982,1,1,2005,2.5871641237745595,2,9,646118.3979191775
4081,1,1,1997,1.404793184224753,1,7,834105.7943401121
2040,1,2,1952,0.90045371685356,2,1,379109.0941130737
3396,3,3,2007,3.668374720946026,0,10,762080.8235471162
4318,4,1,1976,1.203276692973993,2,8,897666.0008462978
1491,2,3,1991,1.3966067948374132,2,10,346010.94983818056
3058,2,1,2017,1.498552073529678,0,2,672852.0519810001
2651,5,3,1970,2.715045418320837,1,6,601083.947569366
4727,2,2,1955,2.7818709082712,2,4,976049.1314638924
4187,5,3,1997,2.619275264476315,2,6,950877.0053637534
4474,2,2,2022,3.409701997768978,0,2,985699.1860734548
4968,4,3,1994,0.8404749675684988,1,6,1043830.2913439176
4079,5,3,2007,1.476303106387458,1,10,909836.08484369
2561,5,1,1983,0.5697874878196648,1,2,541967.633559251
1159,1,2,1957,2.802360730527847,2,3,250101.5473305484
3567,3,3,1972,3.1854938898276037,2,9,779362.3561113286
3145,2,1,1955,1.1452791650490164,2,5,613606.1874695573
1025,4,3,2019,1.4489880245635467,0,6,282660.2192955372
2719,4,3,1966,2.9633667817087663,2,9,623326.5868033242
3505,3,1,1983,4.126905053904126,0,3,753186.167662594
3277,4,3,1996,4.7010698755594165,1,10,752466.6746666236
3675,3,1,1983,2.1451806545178504,2,4,779019.7305378267
1752,3,2,2009,2.8053515609918627,1,6,432824.65856336313
2652,2,3,1953,0.8439793746775145,2,4,537770.4956241908
2073,2,3,1963,3.4825832339437475,0,8,438849.2345292175
974,2,2,1986,2.336535755716654,2,1,234261.64997473892
4529,2,1,2019,4.924875455683103,2,6,1026790.0663279732
4864,2,2,1997,1.0686041659152976,2,2,988325.4879158876
1560,1,1,1999,3.610453142239432,0,9,359657.9955923103
3378,5,1,1988,1.7347307234116436,1,8,734156.8160862669
2643,3,3,1966,0.7164153968541594,0,9,530326.7865334606
4561,2,1,1954,2.171686746467454,2,2,907358.632995708
2097,5,2,1954,3.8670477409935313,1,7,481368.1255215702
2680,4,1,1985,3.87512785463986,2,3,600207.3340100806
1829,4,3,1959,3.4170615382194365,0,4,417900.59093719104
3719,4,2,2016,2.25767123411802,1,10,828512.1019589091
1471,5,1,1982,1.2019138866451993,0,3,341253.2207795087
1842,3,1,1977,1.2708273101975167,1,4,405144.670068021
3063,2,2,1956,4.360797909117757,2,3,647832.2075906589
3095,4,2,1966,2.90915573531743,0,4,670894.0581247887
4096,1,1,1982,2.73602983325022,2,2,826494.0471232897
3952,1,2,1988,4.984545453300421,1,9,875163.0460692297
3784,4,1,2021,3.802474088611436,1,5,870504.8285910133
2420,5,3,1973,2.8837128474876543,2,10,560889.7929688855
3056,2,3,2018,4.315675476935068,2,3,735678.4622017285
4880,2,2,1952,4.206228893591852,0,10,1004325.3931894517
702,5,3,1971,0.5257336161235517,1,5,183663.6464573192
1314,5,1,1972,3.998549602320735,2,5,341956.2674322983
4782,3,3,2006,4.62471485739085,1,10,1067425.216621323
3404,3,3,1977,3.529608977095392,0,1,735850.8123421574
633,5,2,1977,1.280043738388764,2,5,176494.35410241215
534,3,1,2016,2.527153571617679,0,10,187508.58531168045
1322,2,3,1981,3.43827346162029,2,5,345655.79485490214
3557,2,2,1985,1.655345733393911,0,4,730405.6620242158
4675,2,1,2015,4.774548507107342,0,7,1033450.4577544982
2323,3,3,1991,1.5171493855489344,2,5,511645.2377877411
4812,2,1,1965,1.7282749762916954,1,7,961367.1393329063
3037,1,3,2014,3.3376142371239155,2,8,699683.2484112402
1660,3,2,1961,3.639723383989818,1,4,357130.1202818031
4297,3,2,1957,3.2651859988023406,2,2,910000.3859570916
4567,2,2,1988,2.546925992612907,0,6,938151.8372450712
3505,2,3,1968,4.433768069706617,1,8,745670.6371477235
3579,5,1,1979,2.856036107884351,0,7,765780.0440479134
1198,1,3,2002,4.673098312638337,2,1,334276.21781208954
554,3,2,1954,1.5464359922938475,2,6,120795.5523667112
4952,4,3,1995,4.725027320185737,2,9,1099211.6405116057
4487,3,2,1976,4.79090794033179,1,7,971977.0246414564
2863,1,3,1957,3.4149840482765392,0,4,582468.7977365239
1811,4,2,2015,1.8304926767222864,1,8,436325.0761836845
3587,2,3,1966,2.848788515653537,0,3,720883.657171062
1717,1,2,1962,4.322903969695556,0,7,383644.1777444591
3038,5,1,1967,2.854458747368937,0,3,647006.812552705
3705,5,1,1988,2.672210628846205,2,10,808905.5849604708
4312,5,3,1969,1.690321117949772,2,2,919941.4098368196
3174,1,1,1976,4.986091483652099,0,5,678385.989963216
1516,1,3,1985,2.493767130486895,2,6,353129.5684734057
862,2,1,2012,2.716695523498164,2,7,234762.8244790115
4031,4,2,2007,4.279191584915697,0,4,899849.5188200921
2496,3,2,2014,1.8448571086656385,2,9,551668.6465406333
664,2,2,1982,2.296250575299588,2,8,170024.87591657112
2365,2,2,1987,2.588300102320271,0,10,510534.1603835063
4678,5,3,1986,3.045596774634526,0,1,1007068.6501452676
